Year,Republican,Democrat,Indpendent
1964,0.096654275,0.903345725,0
1968,0.559479554,0.355018587,0.085501859
1972,0.607,0.375,0.018
1976,0.44795539,0.55204461,0
1980,0.908921933,0.091078067,0
1984,0.975836431,0.024163569,0
1988,0.791821561,0.208178439,0
1992,0.312267658,0.687732342,0
1996,0.295539033,0.704460967,0
2000,0.503717472,0.496282528,0
2004,0.531598513,0.468401487,0
2008,0.321561338,0.678438662,0
2012,0.382899628,0.617100372,0
2016,0.574349442,0.425650558,0
2020,0.431226766,0.568773234,0
