Alabama,Alaska,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
10,3,6,5,40,6,8,3,14,12,4,9,4,26,13,7,9,10,4,10,14,21,10,12,7,4,13,4,5,4,17,4,3,43,26,8,6,29,4,8,4,11,25,4,12,3,9,12,7,3
10,3,6,5,40,6,8,3,14,12,4,9,4,26,13,7,9,10,4,10,14,21,10,12,7,4,13,4,5,4,17,4,3,43,26,8,6,29,4,8,4,11,25,4,12,3,9,12,7,3
9,3,6,6,45,7,8,3,17,12,4,8,4,26,13,7,9,10,4,10,14,21,10,12,7,4,13,3,5,4,17,4,3,41,25,8,6,27,4,8,4,10,26,4,12,3,9,11,6,3
9,3,6,6,45,7,8,3,17,12,4,8,4,26,13,7,9,10,4,10,14,21,10,12,7,4,13,3,5,4,17,4,3,41,25,8,6,27,4,8,4,10,26,4,12,3,9,11,6,3
9,3,6,6,45,7,8,3,17,12,4,8,4,26,13,7,9,10,4,10,14,21,10,12,7,4,13,3,5,4,17,4,3,41,25,8,6,27,4,8,4,10,26,4,12,3,9,11,6,3
9,3,6,7,47,8,8,3,21,12,4,8,4,24,12,7,9,10,4,10,13,20,10,11,7,4,13,3,5,4,16,5,4,36,23,8,7,25,4,8,3,11,29,5,12,3,10,11,6,3
9,3,6,7,47,8,8,3,21,12,4,8,4,24,12,7,9,10,4,10,13,20,10,11,7,4,13,3,5,4,16,5,4,36,23,8,7,25,4,8,3,11,29,5,12,3,10,11,6,3
9,3,6,8,54,8,8,3,25,13,4,7,4,22,12,6,8,9,4,10,12,18,10,11,7,3,14,3,5,4,15,5,4,33,21,8,7,23,4,8,3,11,32,5,13,3,11,11,5,3
9,3,6,8,54,8,8,3,25,13,4,7,4,22,12,6,8,9,4,10,12,18,10,11,7,3,14,3,5,4,15,5,4,33,21,8,7,23,4,8,3,11,32,5,13,3,11,11,5,3
9,3,6,8,54,8,8,3,25,13,4,7,4,22,12,6,8,9,4,10,12,18,10,11,7,3,14,3,5,4,15,5,4,33,21,8,7,23,4,8,3,11,32,5,13,3,11,11,5,3
9,3,6,10,55,9,7,3,27,15,4,7,4,21,11,6,8,9,4,10,12,17,10,11,6,3,15,3,5,4,15,5,5,31,20,7,7,21,4,8,3,11,34,5,13,3,11,10,5,3
9,3,6,10,55,9,7,3,27,15,4,7,4,21,11,6,8,9,4,10,12,17,10,11,6,3,15,3,5,4,15,5,5,31,20,7,7,21,4,8,3,11,34,5,13,3,11,10,5,3
9,3,6,11,55,9,7,3,29,16,4,6,4,20,11,6,8,8,4,10,11,16,10,10,6,3,15,3,5,4,14,5,6,29,18,7,7,20,4,9,3,11,38,6,13,3,12,10,5,3
9,3,6,11,55,9,7,3,29,16,4,6,4,20,11,6,8,8,4,10,11,16,10,10,6,3,15,3,5,4,14,5,6,29,18,7,7,20,4,9,3,11,38,6,13,3,12,10,5,3
9,3,6,11,55,9,7,3,29,16,4,6,4,20,11,6,8,8,4,10,11,16,10,10,6,3,15,3,5,4,14,5,6,29,18,7,7,20,4,9,3,11,38,6,13,3,12,10,5,3
